"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16507","Validation of selecting different statuses filters.","chromium","Thu Mar 20 09:13:02 UTC 2025","passed","Thu Mar 20 09:13:19 UTC 2025","","tc3.status.filters.results.spec.ts","",""
"","15297","Validation of search functionality on Redmine search page.","webkit","Thu Mar 20 09:13:30 UTC 2025","passed","Thu Mar 20 09:13:46 UTC 2025","","tc1.search.functionality.spec.ts","",""
"","11978","Validation of ""No data to display"" message.","chromium","Thu Mar 20 09:13:02 UTC 2025","passed","Thu Mar 20 09:13:14 UTC 2025","","tc4.no.data.to.display.message.spec.ts","",""
"","15645","Validation of selecting different statuses filters.","firefox","Thu Mar 20 09:13:16 UTC 2025","passed","Thu Mar 20 09:13:32 UTC 2025","","tc3.status.filters.results.spec.ts","",""
"","10579","Validation of column selection and arrangement","webkit","Thu Mar 20 09:13:37 UTC 2025","passed","Thu Mar 20 09:13:47 UTC 2025","","tc5.column.selection.arrangement.spec.ts","",""
"","10620","Validation of ""No data to display"" message.","webkit","Thu Mar 20 09:13:34 UTC 2025","passed","Thu Mar 20 09:13:44 UTC 2025","","tc4.no.data.to.display.message.spec.ts","",""
"","11000","Validation of the ""Status"" filter error message.","webkit","Thu Mar 20 09:13:30 UTC 2025","passed","Thu Mar 20 09:13:41 UTC 2025","","tc2.status.filter.error.message.spec.ts","",""
"","12124","Validation of search functionality on Redmine search page.","firefox","Thu Mar 20 09:13:16 UTC 2025","passed","Thu Mar 20 09:13:28 UTC 2025","","tc1.search.functionality.spec.ts","",""
"","11411","Validation of search functionality on Redmine search page.","chromium","Thu Mar 20 09:13:02 UTC 2025","passed","Thu Mar 20 09:13:14 UTC 2025","","tc1.search.functionality.spec.ts","",""
"","13099","Validation of column selection and arrangement","chromium","Thu Mar 20 09:13:02 UTC 2025","passed","Thu Mar 20 09:13:15 UTC 2025","","tc5.column.selection.arrangement.spec.ts","",""
"","18766","Validation of selecting different statuses filters.","webkit","Thu Mar 20 09:13:31 UTC 2025","passed","Thu Mar 20 09:13:50 UTC 2025","","tc3.status.filters.results.spec.ts","",""
"","9585","Validation of the ""Status"" filter error message.","firefox","Thu Mar 20 09:13:16 UTC 2025","passed","Thu Mar 20 09:13:26 UTC 2025","","tc2.status.filter.error.message.spec.ts","",""
"","9507","Validation of ""No data to display"" message.","firefox","Thu Mar 20 09:13:17 UTC 2025","passed","Thu Mar 20 09:13:26 UTC 2025","","tc4.no.data.to.display.message.spec.ts","",""
"","10245","Validation of column selection and arrangement","firefox","Thu Mar 20 09:13:21 UTC 2025","passed","Thu Mar 20 09:13:31 UTC 2025","","tc5.column.selection.arrangement.spec.ts","",""
"","12728","Validation of the ""Status"" filter error message.","chromium","Thu Mar 20 09:13:02 UTC 2025","passed","Thu Mar 20 09:13:15 UTC 2025","","tc2.status.filter.error.message.spec.ts","",""
